team_trainer,team_logo,team_defenders_1,team_defenders_2,team_defenders_3,team_defenders_4,team_mid_1,team_mid_2,team_mid_3,team_atq_1,team_atq_2,team_atq_3,team_goealkeeper,goals,goalsHalfTime,card_yellow,card_red,winner
Aimé Jacquet,coq français,Lilian Thuram,Marcel Desailly,Franck Leboeuf,Bixente Lizarazu,Didier Deschamps,Christian Karemebeu,Emmanuel Petit,Zinédine Zidane,Youri Djorkaeff,Stéphane Guivarc'h,Fabien barthez,3,2,4,1,1
Mario Zagallo,Faleco,Roberto Carlos,Cafu,Aldair,Junior Baiano,Rivaldo,Cesar Sampaio,Dunga,Ronaldo,Leonardo,Rebeto,Claudio Taffarel,0,0,1,0,
